stress,strain
10.89753000,0.00348
10.94736000,0.00349
11.00667000,0.00350
11.05078000,0.00351
11.11297000,0.00352
11.15229000,0.00353
11.20741000,0.00355
11.25733000,0.00356
11.29931000,0.00357
11.34373000,0.00358
11.37795000,0.00359
11.44248000,0.00361
11.49513000,0.00362
11.55724000,0.00363
11.61043000,0.00364
11.65831000,0.00365
11.72556000,0.00367
11.77565000,0.00368
11.83462000,0.00369
11.86710000,0.00370
11.93125000,0.00372
11.97254000,0.00373
12.01506000,0.00374
12.07064000,0.00375
12.10835000,0.00376
12.17586000,0.00377
12.22982000,0.00379
12.28119000,0.00380
12.33377000,0.00381
12.39375000,0.00382
12.46600000,0.00384
12.53137000,0.00385
12.58630000,0.00386
12.62768000,0.00387
12.70639000,0.00388
12.76061000,0.00390
12.80328000,0.00391
12.83057000,0.00392
12.87458000,0.00393
12.93626000,0.00395
12.96689000,0.00396
13.00734000,0.00397
13.04498000,0.00398
13.07604000,0.00399
13.13095000,0.00401
13.16589000,0.00402
13.21817000,0.00403
13.26004000,0.00404
13.30336000,0.00405
13.37170000,0.00407
13.40813000,0.00408
13.46444000,0.00409
13.51356000,0.00410
13.56765000,0.00411
13.62480000,0.00413
13.64636000,0.00414
13.67823000,0.00415
13.71446000,0.00416
13.76654000,0.00417
13.84112000,0.00419
13.88479000,0.00420
13.94397000,0.00421
13.97902000,0.00422
14.04050000,0.00423
14.12070000,0.00425
14.17638000,0.00426
14.24123000,0.00427
14.27266000,0.00428
14.35114000,0.00429
14.40720000,0.00431
14.46541000,0.00432
14.52099000,0.00433
14.56602000,0.00434
14.65407000,0.00435
14.69471000,0.00437
14.75584000,0.00438
14.80154000,0.00439
14.86061000,0.00440
14.90870000,0.00442
14.93931000,0.00443
14.98503000,0.00444
15.01770000,0.00445
15.07397000,0.00446
15.14508000,0.00448
15.19126000,0.00449
15.24466000,0.00450
15.28613000,0.00451
15.36438000,0.00452
15.41975000,0.00453
15.48017000,0.00455
15.52593000,0.00456
15.55875000,0.00457
15.62022000,0.00458
15.64911000,0.00460
15.68612000,0.00461
15.72923000,0.00462
15.76352000,0.00463
15.83385000,0.00464
15.88465000,0.00465
15.94417000,0.00467
15.98943000,0.00468
16.02973000,0.00469
16.09270000,0.00470
16.12997000,0.00472
16.17378000,0.00473
16.20731000,0.00474
16.25886000,0.00475
16.32227000,0.00476
16.36179000,0.00478
16.40216000,0.00479
16.42384000,0.00480
16.45920000,0.00481
16.51475000,0.00482
16.55116000,0.00483
16.59979000,0.00485
16.64233000,0.00486
16.68625000,0.00487
16.73880000,0.00489
16.77140000,0.00490
16.82159000,0.00491
16.85404000,0.00492
16.88804000,0.00493
16.94659000,0.00495
16.98446000,0.00496
17.01785000,0.00497
17.05546000,0.00498
17.08174000,0.00499
17.13789000,0.00501
17.17020000,0.00502
17.19353000,0.00503
17.21526000,0.00504
17.20753000,0.00506
17.20622000,0.00507
17.23934000,0.00508
17.23671000,0.00509
17.22500000,0.00510
17.22522000,0.00512
17.24422000,0.00513
17.26593000,0.00514
17.27876000,0.00515
17.30787000,0.00516
17.32956000,0.00518
17.33613000,0.00519
17.35827000,0.00520
17.37351000,0.00521
17.35702000,0.00522
17.36783000,0.00524
17.38114000,0.00525
17.37952000,0.00526
17.39506000,0.00527
17.40485000,0.00528
17.41429000,0.00530
17.41872000,0.00531
17.44120000,0.00532
17.46668000,0.00533
17.44866000,0.00535
17.42218000,0.00536
17.38641000,0.00537
17.34533000,0.00538
17.30397000,0.00540
17.25693000,0.00541
17.22169000,0.00542
17.18150000,0.00543
17.12724000,0.00545
17.05168000,0.00546
16.96006000,0.00547
16.85735000,0.00548
16.73129000,0.00550
16.59167000,0.00551
16.45968000,0.00553
16.34803000,0.00554
16.14834000,0.00554
16.06316000,0.00555
15.99753000,0.00556
15.97270000,0.00558
15.89851000,0.00559
15.79404000,0.00561
15.71385000,0.00562
15.64893000,0.00562
15.60945000,0.00564
15.56609000,0.00565
15.48423000,0.00567
15.39678000,0.00568
15.31031000,0.00569
15.23124000,0.00570
15.15385000,0.00571
15.06051000,0.00572
14.92994000,0.00574
14.76378000,0.00576
14.59901000,0.00578
14.37256000,0.00578
14.24670000,0.00579
14.15953000,0.00579
14.08074000,0.00580
14.02575000,0.00581
14.02572000,0.00583
13.98211000,0.00584
13.90603000,0.00586
13.79671000,0.00587
13.67087000,0.00589
13.52802000,0.00590
13.34657000,0.00592
13.02982000,0.00594
12.76865000,0.00594
12.59205000,0.00594
12.45647000,0.00595
12.34080000,0.00597
12.20258000,0.00598
12.03350000,0.00600
11.84193000,0.00601
11.68000000,0.00602
11.56667000,0.00603
11.49615000,0.00603
11.42845000,0.00604
11.38433000,0.00605
11.38061000,0.00606
11.38566000,0.00608
11.36548000,0.00609
11.31817000,0.00611
11.26619000,0.00612
11.22764000,0.00613
11.20590000,0.00614
11.19550000,0.00615
11.19712000,0.00616
11.16475000,0.00618
11.12382000,0.00619
11.09211000,0.00620
11.07815000,0.00621
11.06785000,0.00622
11.06190000,0.00623
11.04898000,0.00625
11.03146000,0.00626
11.00389000,0.00627
